AccountLength,TotalDayCalls,TotalDayCharge,TotalEveCalls,TotalEveCharge,TotalNightCalls,TotalNightCharge,TotalIntlCalls,TotalIntlCharge,NumberVmailMessages,TotalIntlCalls,NumberCustomerServiceCalls,AreaCode_area_code_408,AreaCode_area_code_415,AreaCode_area_code_510,State,InternationalPlan,VoiceMailPlan,Churn
0.1887635171335752,1.1966549732961027,-0.35467374540308444,0.14401643132286843,-0.09964526857797772,0.1677431060479021,1.114880791487406,-0.5915439941297597,1.3413662233947032,0.65,0.30000000000000004,0.3333333333333333,0.0,1.0,0.0,35.0,0.0,1.0,0.0
0.9614654927501951,0.7276213551404286,1.2028298679637364,0.5056987571590432,-1.6351559619054628,0.21941809885042338,-0.7876174869925638,0.3800741604795074,0.7433815727542645,0.0,0.5,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
-0.4036413308391667,-1.5133170427144593,2.268784893071725,-0.6310171240403633,0.0072573746283656326,-0.555706793187396,-0.07821134925427024,1.3516923150887745,-1.4589521405800336,0.0,0.7000000000000001,0.6666666666666666,1.0,0.0,0.0,35.0,1.0,0.0,0.0
-0.6354519235241527,0.675506508678687,-0.25725978827661894,1.1257256014496284,-1.0739170850721578,1.0978929764932854,-0.2855053505414337,-0.5915439941297597,-0.07337795007170042,0.0,0.30000000000000004,1.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0
0.5493577724213311,-0.6273646528648525,0.7224782862711656,0.402360949777279,0.0072573746283656326,0.9428679980857215,0.2488525194432553,1.3516923150887745,-1.0943273536041567,0.6000000000000001,0.7000000000000001,1.0,0.0,0.0,1.0,19.0,0.0,1.0,0.0
1.219032817955735,-1.0963982710205267,-0.4420103966199152,-0.3210037018950706,-2.0093152131276666,-0.19398184356974696,0.23042638599550697,0.8658832377841409,-1.2547622598735426,0.0,0.6000000000000001,0.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0
0.4463308423391152,-0.1583310347091783,0.08200951068107103,-1.0443683535674202,0.0072573746283656326,-0.5040318003848747,0.3133439865103732,-0.10573491682512617,-0.6276076262750335,0.0,0.4,0.3333333333333333,1.0,0.0,0.0,18.0,0.0,0.0,0.0
1.064492422832411,-0.8358240387118189,1.491712637373254,0.5573676608499253,0.4470159750908263,-0.14230685076722566,2.6073976007549855,0.3800741604795074,0.3495868028203172,0.925,0.5,0.0,0.0,1.0,0.0,49.0,1.0,1.0,0.0
-0.8930192487296926,1.9262628237604849,-0.9727485078606579,-0.8893616424947738,0.5806442790987564,0.5811430484680724,0.17054145229032677,0.8658832377841409,0.9475714534607559,0.0,0.6000000000000001,0.3333333333333333,0.0,1.0,0.0,15.0,0.0,0.0,1.0
-0.6612086560447067,1.405114359143069,0.14247334613887702,2.4691170974125636,-0.7629275775627934,-0.29733182917478956,-0.09663748270201775,0.3800741604795074,-0.4671727200056478,0.0,0.5,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0
